,inci_as_array
130,"['behentrimonium methosulfate', ' cetyl alcohol', ' butylene glycol', ' theobroma cacao butter', ' prunus amygdalus dulcis oil', ' hydrogenated vegetable oil', ' citrus grandis oil', ' panthenol', ' hydrolyzed silk', ' sclerocarya birrea', 'aqua', ' crambe abyssinica seed oil', ' ricinus communis oil', ' cocomidopropyl betaine', 'hydroxypropyltrimonium honey', ' leuconostoc/radish root ferment filtrate', ' limonene', ' myrcene', ' citral']"
330,"['glycerin', 'aqua', 'butylene glycol', 'peg-8', 'ppg-5-ceteth-20', 'parfum', 'phenoxyethanol', 'carbomer', 'aqua', 'butyrospermum parkii  butter', 'argania spinosa kernel oil', 'simmondsia chinensis  seed oil', 'tocopheryl acetate', 'aleurites moluccana  seed oil']"
525,"['nasturtium officinale powder', 'panicum miliaceum powder', 'equisetum arvense leaf powder', 'medicago sativa powder', 'althaea officinalis  root powder', 'trigonella foenum graecum seed powder', 'betula alba powder']"
50,"['nałożyćbalsam na umyte', 'aqua', 'aqua', ' organic simmondsia chinensis oil ', ' organic cydonia seed extract ', 'citrus aurantium bergamia extract ', ' glycerin', ' organic verbena officinalis extract ', ' behenamidopropyl dimethylamine', ' organic zingiber officinale extract ', ' glyceryl monostearate', ' glyceryl stearate se', ' perfume', ' lactic acid', ' benzoic acid', ' sorbic acid', ' dehydroacetic acid', ' benzyl alcohol.produkt prawie zgodny z metodą cg benzyl alcohol na końcu użyty jest jako konserwant i nie powinien mieć wpływu na skrętpojemność 200ml']"
450,"['aqua', 'cetearyl alcohol', 'behentrimonium chloride', 'ppg-3 benzyl ethermyristate', 'hydrolyzed milk protein', 'hydrolyzed oats', 'hydrolyzed keratin', 'cetrimonium chloride', 'starch hydroxypropyltrimonium chloride', 'phenoxyethanol', 'benzoic acid', 'dehydroacetic acid', 'parfum']"
205,"['wgnieć w ociekające włosy', ' opcjonalnie odciśnięte w koszulkę sekcja po sekcji.następnie nałóż stylizator.radaze względu na zawartość protein', ' maskinajlepiejstosować1-2 razy w tygodniu. częstotliwość jest większa', 'aqua', ' cocos nucifera  oil ', ' glyceryl stearate', ' glycerin ', ' stearyl alcohol', ' cetyl alcohol', ' behentrimonium chloride', ' butyrospermum parkii  butter♥ ', ' cocos nucifera  fruit juice ', ' aloe barbadensis leaf juice ', ' panthenol', ' daucus carota sativa  seed oil ', ' sodium lauroyl hydrolyzed silk ', ' algae extract ', ' melia azadirachta seed oil ', ' salvia officinalis  leaf extract ', ' equisetum arvense extract ', ' hibiscus rosa-sinensis flower extract ', ' hydroxyethylcellulose', ' tocopherol', ' sodium benzoate', ' glyceryl caprylate', ' glyceryl undecylenate', ' fragrance .pojemność 237mlprodukt zgodny z cg']"
495,"['aqua', 'aloe barbadensis  leaf juice', 'cetearyl alcohol', 'behentrimonium chloride', 'glycerin', 'polyglyceryl-3 pca', 'rose extract', 'glycyrrhiza glabra  root extract', 'cichorium intybus  leaf extract', 'hydrolyzed rhodophyceae extract', 'panthenol', 'linoleic acid', 'menthol', 'biotin', 'lactic acid', 'citrus aurantifolia extract', 'cymbopogon flexuosus  leaf extract', 'parfum', 'tetrasodium glutamate diacetate', 'dehydroacetic acid', 'benzyl alcohol', 'potassium sorbate', 'sodium benzoate']"
450,"['aqua', 'cetearyl alcohol', 'behentrimonium chloride', 'ppg-3 benzyl ethermyristate', 'hydrolyzed milk protein', 'hydrolyzed oats', 'hydrolyzed keratin', 'cetrimonium chloride', 'starch hydroxypropyltrimonium chloride', 'phenoxyethanol', 'benzoic acid', 'dehydroacetic acid', 'parfum']"
335,"['aqua', 'cetearyl alcohol', 'myristyl alcohol', 'propylene glycol', 'parfum', 'nigella sativa  seed extract', 'lawsonia inermis  leaf extract', 'cetrimonium chloride', 'magnesium nitrate', 'methylisothiazolinone', 'citric acid']"
290,['adansonia digitata  seed oil']
395,['limnanthes alba seed oil']
100,"['aqua', ' olea europaea fruit oil', ' cocos nucifera oil', ' cetearyl alcohol and sodium cetearyl sulfate', ' glycerin', ' cetearyl alcohol', ' citrus x paradisi extract', ' citrus sinensis peel oil', ' fragrance', 'citrus x paradisi peel oil', ' angelica archangelica extract', ' benzyl alcohol', ' dehydroacetic acid', ' sorbic acid and benzoic acid', ' ci19140']"
370,['calendula officinalis flower in helianthus annuus seed oil']
85,"[' behentrimonium methosulfate & cetearyl alcohol', ' theobroma cacao seed butter', ' cetyl alcohol', ' hydroxypropyltrimonium honey & leuconostoc / radish rootferment filtrate', ' honey', ' citrus aurantinum dulcis peel oil', ' panthenol', ' sodium lactate', ' beeswax', ' macadamia ternifolia seed oil & pulmonariae officinalis extract & tilia cordata  extract & sambucus nigra flower extract', ' persea gratissima oil', ' juglans regia seed oil', ' dehydroacetic acid & benzyl alcohol', ' lactic acid', ' citral', ' linalool', ' limonene']"
450,"['aqua', 'cetearyl alcohol', 'behentrimonium chloride', 'ppg-3 benzyl ethermyristate', 'hydrolyzed milk protein', 'hydrolyzed oats', 'hydrolyzed keratin', 'cetrimonium chloride', 'starch hydroxypropyltrimonium chloride', 'phenoxyethanol', 'benzoic acid', 'dehydroacetic acid', 'parfum']"
310,"['aqua', 'cetearyl alcohol', 'cetrimonium chloride', 'aminopropyl dimethicone', 'isohexadecane', 'parfum', 'magnifera indica seed oil', 'citric acid', 'propylene glycol', 'benzyl alcohol', 'methylchloroisothiazolinone', 'methylisothiazolinone']"
450,"['aqua', 'cetearyl alcohol', 'behentrimonium chloride', 'ppg-3 benzyl ethermyristate', 'hydrolyzed milk protein', 'hydrolyzed oats', 'hydrolyzed keratin', 'cetrimonium chloride', 'starch hydroxypropyltrimonium chloride', 'phenoxyethanol', 'benzoic acid', 'dehydroacetic acid', 'parfum']"
505,"['octyldodecanol', 'shea butter ethyl esters', 'salvia officinalis  leaf extract', 'organic ginkgo biloba extract', 'isododecane and hydrogenerated tetradecenyl/methylpentadecene', 'aesculus hippocastanum extract', 'zingiber officinale extract', 'aniba rosaeodora essential oil', 'geranium essential oil', 'tocopherol', 'perfume', 'linalool', 'citronellol', 'limonene', 'geraniol', 'eugenol', 'citral']"
390,"['aqua', 'pvp', 'acrylates/hydroxyesters acrylates copolymer', 'acrylates/steareth-20 methacrylate crosspolymer', 'phenoxyethanol', 'aminomethyl propanol', 'peg-40 hydrogenated castor oil', 'glycerin', 'dmdm hydantoin', 'panthenol', 'styrax tonkinensis  resin extract', 'benzoic acid', 'ethylhexylglycerin', 'linalool', 'limonene', 'sodium benzoate', 'buthylphenyl methylpropional', 'alpha isomethyl ionone', 'ci 60730']"
265,"['aqua', ' aloe barbadensis  leaf juice', ' glycerin', ' persea gratissima  oil', ' cetyl alcohol', ' cetrimonium chloride', ' ricinus communis  seed oil', ' lemongrass  oil', ' mangifera indica  fruit extract', ' althaea officinalis  root', ' tocopheryl acetate ', ' citrus grandis  extract', ' ulmus fulva  bark extract', ' panthenol', ' biotin', ' panthenol. chamomilla recutita  flower extract', ' lavandula angustifolia  extract', ' rosmarinus officinalis  leaf oil', ' equisetum hiemale  extract', ' silk amino acids', ' urtica dioica  extract', ' thymus vulgaris  extract', ' achillea millefolium  extract', ' fragrance ', ' citric acid', ' behentrimonium methosulfate ', ' violet 2. ']"
170,"['aqua', ' malva sylvestris  flower extract', ' persea gratissima  fruit extract', ' moringa oleifera  leaf extract', ' cetearyl alcohol', ' butyrospermum parkii  butter', ' caprylic/capric triglyceride', ' vegetable glycerin', ' persea gratissima  oil', ' behentrimonium chloride', ' inulin', ' panthenol', ' niacinamide', ' calcium pantothenate', ' sodium ascorbyl phosphate', ' tocopheryl acetate', ' pyridoxine hcl', ' hydrolyzed wheat proteins', ' hydrolyzed rye proteins', ' hydrolyzed oats proteins', ' hydroxyethylcellulose', ' maltodextrin', ' sodium starch octenylsuccinate', ' silica', ' hydroxypropyl guar', ' hydroxypropyl guar hydroxypropyltrimonium chloride', ' propanediol', ' citric acid', ' croton lechleri resin extract t ', 'parfum', ' dehydroacetic acid', ' benzoic acid', ' benzyl alcohol', ' potassium sorbate', ' sodium benzoate', ' geraniol', ' citronellol', ' limonene.']"
560,"['aqua', 'pvp', 'glycerin', 'peg-4', 'xanthan gum', 'carbomer', 'argania spinosa kernel oil', 'hydroxyethylcellulose', 'caprylyl glycol', 'aqua', 'parfum', 'citronellol', 'geraniol', 'limonene', 'linalool', 'phenoxyethanol', 'yellow 5 ', 'red 4 ']"
565,"['aqua', 'prunus amygdalus dulcis  oil', 'crambe abyssinica seed oil', 'carthamus tinctorius seed oil', 'simmondsia chinensis  seed oil', 'pinus siberica cone essential oil', 'aqua', 'tilia cordata flower extract', 'citric acid', 'glycerin', 'behenamidopropyl dimethylamine', 'glyceryl monostearate', 'parfum', 'lactic acid', 'benzoic acid', 'sorbic acid', 'dehydroacetic acid', 'benzyl alcohol']"
440,"['aqua', 'pvp', 'carbomer', 'phenoxyethanol', 'aminomethyl propanol', 'peg-40 hydrogenated castor oil', 'sodium benzoate', 'sodium methylparaben', 'dipropylene glycol', 'parfum', 'benophenone-4', 'tetrasodium edta', 'benzyl salicylate', 'butylphenylmethylpropional', 'limonene', 'hydroxycitronellal', 'ci 60730', 'ci 17200']"
485,"['aqua', 'polyquaternium-11', 'glycerin', 'xanthan gum', 'ricinus communis  seed oil', 'polysorbate-20', 'fragrance', 'phenoxyethanol', 'benzyl alcohol', 'potassium sorbate', 'tocopherol acetate ', 'panthenol']"
550,"['aqua', 'aloe barbadensis  leaf extract', 'propylene glycol', 'glycerin', 'panthenol', 'triethanolamine', 'allantoin', 'polysorbate-20', 'dmdm hydantoin']"
570,"['aqua', 'eau)', 'glycerin', 'propylene glycol', 'carbomer', 'phenoxyethanol', 'polysorbate-20', 'aminomethyl propanol', 'peg-75 lanolin', 'ethylhexylglycerin', 'parfum', 'tetrasodium edta', 'aloe barbadensis  leaf extract', 'polyquaternium-11', 'benzyl benzoate']"
155,"['aqua', ' eau)', ' glycerin', ' peg-6 caprylic/capric glycerides', ' guar hydroxypropyltrimonium chloride', ' wheat amino acids', ' hydrolyzed corn protein', ' hydrolyzed soy protein', ' hydrolyzed wheat protein', ' melissa officinalis extract', ' humulus lupulus  extract', ' cymbopogon schoenanthus extract', ' chamomilla recutita  extract', ' rosmarinus officinalis  extract', ' achillea millefolium extract', 'parfum', ' hydroxyethylcellulose', ' peg-40 hydrogenated castor oil', ' diazolidinyl urea', ' sodium benzoate', ' potassium sorbate.']"
250,"['aqua', ' aloe barbadensis leaf juice', ' propanediol', ' cetearyl alcohol', 'aqua', ' behenamidopropyl dimethylamine', ' glycerin', ' citrus aurantium amara leaf/twig oil', ' moringa pterygosperma seed extract', ' cannabis sativa seed extract', ' citrus limon peel oil', ' urtica dioica leaf extract', ' linum usitatissimum seed extract', ' mentha piperita oil', ' rosmarinus officinalis leaf oil', ' cymbopogon schoenanthus oil', ' benzyl alcohol', ' ethyl lauroyl arginate hcl', ' citral', ' cinnamic acid', ' lactic acid', ' limonene', ' maltodextrin', ' geraniol', ' linalool.']"
90,"['aqua', ' myristyl alcohol', ' behenamidopropyl dimethylamine', ' caprylic/capric triglyceride', ' cetyl alcohol', ' pyrus malus  fruit extract', ' citrus limon  fruit extract', ' hydrolyzed grapefruit', ' hydrolyzed wheat bran', ' hydrolyzed tomato skin', ' azadirachta indica leaf extract', ' rosmarinus officinalis  leaf extract', ' althaea officinalis root extract', ' arctium lappa root extract', ' taraxacum officinale root extract', ' serenoa serrulata fruit extract', ' cannabis sativa seed oil', ' ocimum basilicum  flower/leaf/stem extract', ' camellia sinensis leaf extract', ' prunus amygdalus dulcis  oil', ' ricinus communis  seed oil', ' simmondsia chinensis  seed oil', ' citric acid', ' glycerin', ' tartaric acid', ' potassium sorbate', ' sodium benzoate', ' lactic acid', ' benzyl alcohol', ' sodium dehydroacetate', 'parfum']"
520,"['glycerin', 'aqua']"
460,"['aqua', 'glycerin', 'carbomer', 'aminomethyl propanol', 'polysorbate-20', 'phenoxyethanol', 'polyvinylpyrrolidone', 'parfum', 'ethylhexylglycerin', 'tetrasodium edta', 'hydrolyzed wheat protein', 'sodium hydroxide', 'sodium glycolate', 'cocos nucifera  oil', 'linum usitatissimum  seed oil', 'potassium sorbate']"
80,"['aqua', ' behentrimonium methosulfate', ' cetearyl alcohol', ' acetyl esters', ' orbygnia speciosa  nut oil', ' biosaccharide gum-1', ' euterpepulp oil', ' sodium pca', ' sodium lactate', ' arginine', ' aspartic acid', ' pca', ' glycine', ' alanine', ' serene', ' valine', ' proline', ' threonine', ' isoleucine', ' histidine', ' phenylalanine', ' orbignya speciosa kernel oil', ' astrocaryum murumuru butter', ' pentaclethra macroloba  seed oil', ' rosmarinus officinalis  leaf extract', ' helianthus annuus  seed oil', ' dehydroacetic acid', ' lavandula agustifolia  flower oil', ' pelargonium graveolens  flower/leaf oil salvia officials  leaf oil', ' mentha piperita  leaf oil', ' citrus paradise peel oil', ' litsea cubeba  fruit oil', ' mentha  leaf oil', ' benzyl alcohol']"
15,"['aqua', ' orbignya oleifera seed oil', ' cetearyl alcohol', ' behentrimonium chloride', ' astrocaryum murumuru seed butter', ' caprylic/capric triglyceride', ' starch hydroxypropyltrimonium chloride', ' kaolin', ' fucus vesiculosus extract', ' cetrimonium chloride', ' phenoxyethanol', ' benzoic acid', ' dehydroacetic acid', ' bht', 'parfum']"
160,"['aqua', ' euterpe oleracea  fruit extract ', ' butyrospermum parkii  butter ', ' hydrolyzed keratin', ' cetearyl alcohol', ' simmondsia chinensis  seed oil ', ' caprylic/capric triglyceride', ' behentrimonium chloride', ' adansonia digitata  seed oil ', ' tagetes minuta  flower oil ', ' aloe barbadensis  leaf extract ', ' cola acuminata  seed extract ', ' cyclopia intermedia  leaf extract ', ' aspalathus linearis  leaf extract ', ' silk amino acids ', ' perfume', ' benzyl alcohol', ' caprylyl glycol', ' cellulose', ' citric acid', ' sodium benzoate', ' potassium sorbate']"
525,"['nasturtium officinale powder', 'panicum miliaceum powder', 'equisetum arvense leaf powder', 'medicago sativa powder', 'althaea officinalis  root powder', 'trigonella foenum graecum seed powder', 'betula alba powder']"
115,"['aqua', ' cetearyl alcohol', ' behentrimonium chloride', ' ppg-3 benzyl ether myristate', ' hydrolyzed pea protein ', ' keratin ', ' hydrolyzed keratin ', ' collagen ', ' hydrolyzed elastin ', ' cetrimonium chloride', ' starch hydroxypropyltrimonium chloride', ' phenoxyethanol', ' benzoic acid', ' dehydroacetic acid', 'parfum', ' butylphenyl methylpropional', ' benzyl salicylate', ' coumarin', ' limonene', ' geraniol', ' linalool', ' hexyl cinnamal.']"
360,['caryodendron orinocense  seed oil']
340,['rosa moschata seed oil']
335,"['aqua', 'cetearyl alcohol', 'myristyl alcohol', 'propylene glycol', 'parfum', 'nigella sativa  seed extract', 'lawsonia inermis  leaf extract', 'cetrimonium chloride', 'magnesium nitrate', 'methylisothiazolinone', 'citric acid']"
155,"['aqua', ' eau)', ' glycerin', ' peg-6 caprylic/capric glycerides', ' guar hydroxypropyltrimonium chloride', ' wheat amino acids', ' hydrolyzed corn protein', ' hydrolyzed soy protein', ' hydrolyzed wheat protein', ' melissa officinalis extract', ' humulus lupulus  extract', ' cymbopogon schoenanthus extract', ' chamomilla recutita  extract', ' rosmarinus officinalis  extract', ' achillea millefolium extract', 'parfum', ' hydroxyethylcellulose', ' peg-40 hydrogenated castor oil', ' diazolidinyl urea', ' sodium benzoate', ' potassium sorbate.']"
525,"['nasturtium officinale powder', 'panicum miliaceum powder', 'equisetum arvense leaf powder', 'medicago sativa powder', 'althaea officinalis  root powder', 'trigonella foenum graecum seed powder', 'betula alba powder']"
230,"['urtica dioica extract', ' propanediol', ' vitis vinifera seed oil', ' persea gratissima  oil', ' mangifera indica seed butter', ' prunus amygdalus dulcis oil', ' oryza sativa bran oil', ' cetearyl alcohol', 'aqua', ' simmondsia chinensis seed oil', ' hydrogenated castor oil/ sebacic acid copolymer', ' glycerin', ' cetyl alcohol', ' phytosterols', ' levulinic acid', 'parfum', ' behentrimonium methosulfate/ cetearyl alcohol', ' stearyl alcohol', ' olea europaea fruit oil', ' argania spinosa kernel oil', ' benzoic acid', ' cynara scolymus leaf extract', ' sorbic acid', ' gluconolactone', ' sodium benzoate', ' calcium gluconate']"
385,['cucumis sativus seed oil']
305,['butyrospermum parkii  butter']
5,"['aqua', ' cetyl alcohol', ' stearyl alcohol', ' linum usitatissimum  seed oil', ' linum usitatissimum  seed extract ', ' prunus amygdalus dulcis  fruit extract ', ' cocos nucifera  fruit extract ', ' avena sativa  kernel extract ', ' panicum miliaceum  seed extract ', ' helianthus annuus  seed extract ', ' hydrolyzed quinoa', ' tocopherol', ' glycerin', ' dipalmitoylethyl hydroxyethylmonium methosulfate', ' benzyl alcohol', ' behenamidopropyl dimethylamine', 'parfum', ' lactic acid', ' benzoic acid', ' dehydroacetic acid', ' coumarin. z kontrolowanych upraw ekologicznych']"
425,['trigonella foenum - graceum  seed oil']
0,"['aqua', 'cetyl alcohol', 'behenamidopropyl dimethylamine', 'butyrospermum parkii  butter', 'sesamum indicum  seed oil ', 'citrus aurantium dulcis  peel oil ', 'citrus limon  peel oil ', 'citrus aurantium dulcis  flower extract ', 'calendula officinalis flower extract ', 'chamomilla recutita  flower extract ', 'citrus limon  peel extract ', 'soy amino acids', 'wheat amino acids', 'arginine hcl', 'serine', 'threonine', 'lactic acid', 'sorbitol', 'benzyl alcohol', 'limonene', 'sodium benzoate', 'sodium dehydroacetate', 'glycerin', 'xanthan gum']"
0,"['aqua', 'cetyl alcohol', 'behenamidopropyl dimethylamine', 'butyrospermum parkii  butter', 'sesamum indicum  seed oil ', 'citrus aurantium dulcis  peel oil ', 'citrus limon  peel oil ', 'citrus aurantium dulcis  flower extract ', 'calendula officinalis flower extract ', 'chamomilla recutita  flower extract ', 'citrus limon  peel extract ', 'soy amino acids', 'wheat amino acids', 'arginine hcl', 'serine', 'threonine', 'lactic acid', 'sorbitol', 'benzyl alcohol', 'limonene', 'sodium benzoate', 'sodium dehydroacetate', 'glycerin', 'xanthan gum']"
375,['rubus idaeus  seed oil']
